Date,2330.TW
2023-01-03,453.0
2023-01-04,449.5
2023-01-05,458.5
2023-01-06,458.5
2023-01-09,481.0
2023-01-10,486.0
2023-01-11,484.5
2023-01-12,486.5
2023-01-13,500.0
2023-01-16,505.0
2023-01-17,503.0
2023-01-30,543.0
2023-01-31,522.0
2023-02-01,530.0
2023-02-02,540.0
2023-02-03,542.0
2023-02-06,526.0
2023-02-07,523.0
2023-02-08,540.0
2023-02-09,540.0
2023-02-10,545.0
2023-02-13,541.0
2023-02-14,545.0
2023-02-15,525.0
2023-02-16,528.0
2023-02-17,518.0
2023-02-20,517.0
2023-02-21,516.0
2023-02-22,507.0
2023-02-23,518.0
2023-02-24,511.0
2023-03-01,522.0
2023-03-02,519.0
2023-03-03,516.0
2023-03-06,521.0
2023-03-07,524.0
2023-03-08,521.0
2023-03-09,522.0
2023-03-10,513.0
2023-03-13,516.0
2023-03-14,510.0
2023-03-15,511.0
2023-03-16,505.0
2023-03-17,518.0
2023-03-20,512.0
2023-03-21,517.0
2023-03-22,533.0
2023-03-23,538.0
2023-03-24,539.0
2023-03-27,531.0
2023-03-28,525.0
2023-03-29,530.0
2023-03-30,535.0
2023-03-31,533.0
2023-04-06,530.0
2023-04-07,531.0
2023-04-10,529.0
2023-04-11,524.0
2023-04-12,520.0
2023-04-13,510.0
2023-04-14,516.0
2023-04-17,520.0
2023-04-18,515.0
2023-04-19,510.0
2023-04-20,513.0
2023-04-21,511.0
2023-04-24,507.0
2023-04-25,498.0
2023-04-26,491.5
2023-04-27,493.5
2023-04-28,502.0
2023-05-02,501.0
2023-05-03,496.0
2023-05-04,498.0
2023-05-05,500.0
2023-05-08,504.0
2023-05-09,510.0
2023-05-10,503.0
2023-05-11,499.0
2023-05-12,496.0
2023-05-15,495.5
2023-05-16,505.0
2023-05-17,519.0
2023-05-18,530.0
2023-05-19,532.0
2023-05-22,531.0
2023-05-23,530.0
2023-05-24,525.0
2023-05-25,543.0
2023-05-26,566.0
2023-05-29,568.0
2023-05-30,566.0
2023-05-31,558.0
2023-06-01,551.0
2023-06-02,562.0
2023-06-05,555.0
2023-06-06,560.0
2023-06-07,568.0
2023-06-08,559.0
2023-06-09,565.0
2023-06-12,574.0
2023-06-13,593.0
2023-06-14,590.0
2023-06-15,591.0
2023-06-16,589.0
2023-06-19,583.0
2023-06-20,583.0
2023-06-21,581.0
